Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,640 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,8.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,640 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,1 TB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,9.900.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i7,8 GB,640 GB,,Onboard,15 - 16.9 inch,3 tháng,Nhật Bản,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Panasonic,Intel Core i3,8 GB,250 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,8 GB,250 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Việt Nam,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,4 GB,< 128 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Nhật Bản,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Khác,4 GB,250 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Nước khác,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,6.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,27.990.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,,13 - 14.9 inch,Hết bảo hành,Nước khác,9.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,256 GB,,Onboard,15 - 16.9 inch,1 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i7,8 GB,256 GB,,Khác,15 - 16.9 inch,2 tháng,Đang cập nhật,16.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,650.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i3,8 GB,256 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Mỹ,6.890.000 đ
Mới,Dell,Intel Core i7,8 GB,128 GB,,AMD,13 - 14.9 inch,2 tháng,Trung Quốc,7.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,,,Bảo hành hãng,Nhật Bản,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,3.000.000 đ
Mới,Acer,Ryzen 5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,7-12 tháng,Việt Nam,13.333.333 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,8 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,2.850.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Nhật Bản,6.900.000 đ
Mới,Lenovo,Khác,8 GB,512 GB,,Onboard,13 - 14.9 inch,>12 tháng,Trung Quốc,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Đài Loan,9.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i9,32 GB,1 TB,,AMD,15 - 16.9 inch,Hết bảo hành,Mỹ,27.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,4.000.000 đ
Mới,Asus,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Việt Nam,17.999.999 đ
Mới,Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,6.399.999 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Ryzen 5,8 GB,512 GB,,AMD,15 - 16.9 inch,2 tháng,Đang cập nhật,9.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,256 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,4.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,3.500.000 đ
Đã sử dụng (qua sửa chữa),HP,Intel Core i5,4 GB,128 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,999.999 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,1 tháng,Mỹ,4.850.000 đ
Mới,Dell,Intel Core i5,16 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,12.999.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,24.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,7.450.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Nhật Bản,4.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,16 GB,512 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Đang cập nhật,22.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,8 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,4.500.000 đ
Đã sử dụng (qua sửa chữa),Sony,Intel Core i3,6 GB,,,,,Bảo hành hãng,Nhật Bản,1.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,AMD,13 - 14.9 inch,Hết bảo hành,Việt Nam,1.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,> 1 TB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,9.900.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Khác,1 GB,< 128 GB,,Onboard,11 - 12.9 inch,Hết bảo hành,Việt Nam,150.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,500 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Nước khác,1.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,7.999.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,,,,,1 tháng,Đang cập nhật,5.650.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,AMD,15 - 16.9 inch,1 tháng,Việt Nam,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,256 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Việt Nam,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,4.890.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,11 - 12.9 inch,3 tháng,Đang cập nhật,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Mỹ,4.100.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,26.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,6.290.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,4.990.000 đ
Mới,Asus,Ryzen 5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,18.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Đang cập nhật,7.500.000 đ
Mới,Hãng Khác,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,13.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,6.900.000 đ
Mới,MSI,Ryzen 7,8 GB,512 GB,,AMD,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,13.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,128 GB,,NVIDIA,17 - 18.9 inch,Hết bảo hành,Đang cập nhật,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Việt Nam,3.300.000 đ
Mới,HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,2.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,256 GB,,Onboard,19 - 20.9 inch,Bảo hành hãng,Nhật Bản,2.050.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,3.500.000 đ
Mới,Dell,,,,,,,Bảo hành hãng,Mỹ,10.300.000 đ
Mới,Apple,Khác,8 GB,256 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,17.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,4.100.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Pentium,4 GB,500 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.300.000 đ
Mới,Dell,Intel Core i7,,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,24.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,23.700.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,7.500.000 đ
Mới,Dell,Intel Core i7,> 32GB,1 TB,,Onboard,15 - 16.9 inch,7-12 tháng,Mỹ,18.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Đang cập nhật,8.400.000 đ
