,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
0,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,64.0,NVIDIA,256,Việt Nam,desktop,13.500.000 đ
1,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,Onboard,500,Nước khác,desktop,1.800.000 đ
2,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,32.0,NVIDIA,256,Nước khác,desktop,8.500.000 đ
3,desktop,desktop,Mới,1,21,Intel Xeon,64.0,NVIDIA,256,Việt Nam,desktop,12.500.000 đ
4,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,6.300.000 đ
5,desktop,desktop,Mới,1,0,Intel Xeon,16.0,Onboard,128,Việt Nam,desktop,5.890.000 đ
6,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,32.0,Onboard,128,Việt Nam,desktop,9.000.000 đ
7,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i7,16.0,NVIDIA,1000,Nước khác,desktop,28.000.000 đ
8,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,1.350.000 đ
9,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,8.0,Onboard,320,Nước khác,desktop,3.700.000 đ
10,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i9,16.0,NVIDIA,512,Nước khác,desktop,14.800.000 đ
11,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,16.0,NVIDIA,256,Nước khác,desktop,13.000.000 đ
12,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,NVIDIA,128,Việt Nam,desktop,3.500.000 đ
13,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,0,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,1.800.000 đ
14,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core 2 Duo,4.0,AMD,640,Nước khác,desktop,350.000 đ
15,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,AMD,128,Nước khác,desktop,4.800.000 đ
16,desktop,desktop,Mới,1,0,Intel Xeon,16.0,Onboard,128,Việt Nam,desktop,3.600.000 đ
17,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,64.0,AMD,250,Thái Lan,desktop,6.500.000 đ
18,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,16.0,AMD,256,Nước khác,desktop,6.900.000 đ
19,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,2.000.000 đ
20,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Xeon,4.0,NVIDIA,120,Nhật Bản,desktop,2.700.000 đ
21,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,4.0,Onboard,500,Việt Nam,desktop,500.000 đ
22,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,16.0,NVIDIA,256,Việt Nam,desktop,3.000.000 đ
23,desktop,desktop,Mới,5,0,Intel Core i5,8.0,Onboard,256,Nhật Bản,desktop,2.500.000 đ
24,desktop,desktop,Mới,12,21,Intel Xeon,16.0,NVIDIA,1500,Trung Quốc,desktop,55.000.000 đ
25,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i5,64.0,AMD,512,Mỹ,desktop,28.000.000 đ
26,desktop,desktop,Mới,12,0,Intel Core i5,32.0,NVIDIA,512,Việt Nam,desktop,29.490.000 đ
27,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,16.0,AMD,500,Việt Nam,desktop,7.000.000 đ
28,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,20,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,3.100.000 đ
29,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,NVIDIA,256,Nước khác,desktop,8.700.000 đ
30,desktop,desktop,Mới,1,0,Intel Core i5,16.0,NVIDIA,512,Việt Nam,desktop,9.990.000 đ
31,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,2.450.000 đ
32,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i7,16.0,Onboard,512,Nước khác,desktop,2.700.000 đ
33,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,4.0,Onboard,120,Nước khác,desktop,500.000 đ
34,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i7,8.0,Onboard,128,Nước khác,desktop,200.000 đ
