,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price (VND),pc_cpu_label
0,15,101,1,12,21,14,64.0,1,256,6,0,13500000.0,2
1,15,101,1,1,21,9,8.0,2,500,3,0,1800000.0,2
2,15,101,1,1,21,14,32.0,1,256,3,0,8500000.0,2
3,15,101,0,1,21,14,64.0,1,256,6,0,12500000.0,2
4,15,101,1,3,0,8,8.0,1,128,3,0,6300000.0,2
5,15,101,0,1,0,14,16.0,2,128,6,0,5890000.0,2
6,15,101,1,0,0,8,32.0,2,128,6,0,9000000.0,2
7,15,101,1,12,21,10,16.0,1,1000,3,0,28000000.0,2
8,15,101,1,1,0,8,8.0,2,128,3,0,1350000.0,2
9,15,101,1,1,0,9,8.0,2,320,3,0,3700000.0,2
10,15,101,1,0,0,11,16.0,1,512,3,0,14800000.0,2
11,15,101,1,0,21,8,16.0,1,256,3,0,13000000.0,2
12,15,101,1,0,21,9,8.0,1,128,6,0,3500000.0,2
13,15,101,1,9,0,8,8.0,2,128,3,0,1800000.0,2
14,15,101,1,0,0,6,4.0,0,640,3,0,350000.0,2
15,15,101,1,1,0,8,8.0,0,128,3,0,4800000.0,2
16,15,101,0,1,0,14,16.0,2,128,6,0,3600000.0,2
17,15,101,1,12,21,14,64.0,0,250,4,0,6500000.0,2
18,15,101,1,1,21,14,16.0,0,256,3,0,6900000.0,2
19,15,101,1,0,20,8,8.0,2,128,3,0,2000000.0,2
20,15,101,1,0,21,14,4.0,1,120,2,0,2700000.0,2
21,15,101,1,1,0,9,4.0,2,500,6,0,500000.0,2
22,15,101,1,3,21,9,16.0,1,256,6,0,3000000.0,2
23,15,101,0,5,0,9,8.0,2,256,2,0,2500000.0,2
24,15,101,0,12,21,14,16.0,1,1500,5,0,55000000.0,2
25,15,101,1,12,21,9,64.0,0,512,1,0,28000000.0,2
26,15,101,0,12,0,9,32.0,1,512,6,0,29490000.0,2
27,15,101,1,12,21,14,16.0,0,500,6,0,7000000.0,2
28,15,101,1,3,20,8,8.0,2,128,3,0,3100000.0,2
29,15,101,1,1,0,14,32.0,1,256,3,0,8700000.0,2
30,15,101,0,1,0,9,16.0,1,512,6,0,9990000.0,2
31,15,101,1,1,20,8,8.0,1,128,3,0,2450000.0,2
32,15,101,1,3,0,10,16.0,2,512,3,0,2700000.0,2
33,15,101,1,0,0,9,4.0,2,120,3,0,500000.0,2
34,15,101,1,0,0,10,8.0,2,128,3,0,200000.0,2
35,15,101,1,0,0,14,64.0,2,128,3,0,8120000.0,2
36,15,101,1,0,0,9,4.0,2,128,3,0,2000000.0,2
37,15,101,1,0,0,8,8.0,2,250,6,0,6900000.0,2
38,15,101,1,0,21,10,8.0,1,128,6,0,2850000.0,2
39,15,101,1,1,20,10,8.0,0,128,3,0,1750000.0,2
40,15,101,0,12,0,14,32.0,1,128,6,0,4500000.0,2
41,15,101,1,3,0,0,16.0,0,250,6,0,3450000.0,0
42,15,101,1,0,0,8,8.0,2,250,6,0,1900000.0,2
43,15,101,0,1,21,9,8.0,1,500,6,0,14000000.0,2
44,15,101,1,0,0,12,4.0,2,120,3,0,1000000.0,2
45,15,101,0,0,0,8,16.0,1,256,3,0,7600000.0,2
46,15,101,1,0,0,8,4.0,2,128,3,0,1100000.0,2
47,15,101,1,0,20,6,4.0,2,128,3,0,800000.0,2
48,15,101,1,0,0,9,64.0,2,512,3,0,26000000.0,2
49,15,101,1,1,16,8,8.0,1,256,3,0,2800000.0,2
50,15,101,0,1,20,9,8.0,2,128,6,0,2700000.0,2
51,15,101,1,12,21,14,64.0,0,512,6,0,9000000.0,2
52,15,101,1,12,21,0,8.0,0,128,4,0,3500000.0,0
53,15,101,1,0,20,12,4.0,2,500,3,0,1850000.0,2
54,15,101,0,1,0,14,16.0,2,128,6,0,3890000.0,2
55,15,101,1,0,0,14,8.0,2,128,3,0,4090000.0,2
56,15,101,0,12,0,9,8.0,1,128,6,0,6800000.0,2
57,15,101,1,1,0,8,8.0,2,128,5,0,1999000.0,2
58,15,101,1,3,0,9,8.0,2,256,3,0,3500000.0,2
59,15,101,1,0,0,9,8.0,2,128,3,0,2300000.0,2
60,15,101,1,0,21,8,16.0,1,256,6,0,8000000.0,2
61,15,101,1,0,0,14,32.0,1,500,3,0,5200000.0,2
62,15,101,1,0,0,9,32.0,2,128,3,0,2500000.0,2
63,15,101,1,3,21,9,8.0,2,1000,3,0,8000000.0,2
64,15,101,0,0,0,9,8.0,1,128,3,0,6300000.0,2
65,15,101,1,2,20,7,6.0,2,128,6,0,1800000.0,2
66,15,101,1,0,21,9,8.0,1,120,3,0,4000000.0,2
67,15,101,1,0,20,9,8.0,0,128,3,0,600000.0,2
68,15,101,1,1,0,14,32.0,2,120,6,0,9000000.0,2
69,15,101,1,0,20,8,8.0,2,128,6,0,2100000.0,2
70,15,101,1,0,0,9,16.0,2,120,6,0,900000.0,2
71,15,101,1,3,0,9,8.0,2,128,3,0,3000000.0,2
72,15,101,1,3,0,8,8.0,2,256,2,0,4200000.0,2
73,15,101,1,3,21,9,16.0,0,256,3,0,15900000.0,2
74,15,101,1,1,0,14,32.0,0,500,6,0,4250000.0,2
75,15,101,0,0,0,12,4.0,2,250,6,0,650000.0,2
76,15,101,1,3,0,9,8.0,2,256,3,0,3900000.0,2
77,15,101,1,3,0,8,16.0,1,256,3,0,8500000.0,2
78,15,101,0,12,21,8,8.0,1,128,3,0,5750000.0,2
79,15,101,1,0,21,9,8.0,2,500,2,0,6500000.0,2
80,15,101,0,1,0,9,32.0,1,1500,3,0,19900000.0,2
81,15,101,0,3,0,9,16.0,1,128,6,0,11830000.0,2
82,15,101,1,3,21,9,8.0,2,256,3,0,5800000.0,2
83,15,101,1,0,20,9,8.0,2,128,3,0,1490000.0,2
84,15,101,0,1,21,9,8.0,2,256,2,0,7500000.0,2
85,15,101,0,1,0,14,32.0,1,512,6,0,6500000.0,2
86,15,101,2,1,0,10,8.0,1,128,3,0,3750000.0,2
87,15,101,1,0,20,9,8.0,2,250,3,0,3600000.0,2
88,15,101,1,3,21,9,8.0,2,128,3,0,4700000.0,2
89,15,101,0,1,21,14,32.0,0,256,3,0,8000000.0,2
90,15,101,1,0,0,9,8.0,2,250,3,0,3700000.0,2
91,15,101,1,12,21,14,8.0,1,128,6,0,6700000.0,2
92,15,101,1,0,21,14,32.0,1,128,3,0,7000000.0,2
93,15,101,1,12,21,14,16.0,0,256,0,0,3990000.0,2
94,15,101,1,0,0,14,32.0,1,256,6,0,2350000.0,2
95,15,101,1,0,21,10,16.0,0,1000,3,0,6000000.0,2
96,15,101,1,1,0,9,32.0,2,512,1,0,6000000.0,2
97,15,101,2,0,0,10,8.0,2,128,3,0,2250000.0,2
98,15,101,0,0,21,9,16.0,1,256,3,0,7890000.0,2
99,15,101,1,0,20,9,4.0,2,128,6,0,4500000.0,2
100,15,101,0,9,0,14,64.0,0,256,5,0,4700000.0,2
101,15,101,0,1,0,9,32.0,1,512,6,0,25300000.0,2
