pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,usage_information,classify,price
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,13.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i5,8 GB,Khác,500 GB,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.500.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,12.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,6.300.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,5.890.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,1.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,32 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,9.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Nước khác,In trên bao bì,desktop,28.000.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.350.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,,8 GB,Onboard,320 GB,Đang cập nhật,In trên bao bì,desktop,3.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Core i9,16 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,14.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,1.950.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i3,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,13.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core 2 Duo,4 GB,AMD,640 GB,Đang cập nhật,In trên bao bì,desktop,350.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,4.800.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,3.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,,,,,Đang cập nhật,In trên bao bì,desktop,600.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,AMD,250 GB,Thái Lan,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,6.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,4 GB,NVIDIA,< 128 GB,Nhật Bản,In trên bao bì,desktop,2.700.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,,Intel Core i5,4 GB,Onboard,500 GB,Việt Nam,In trên bao bì,desktop,500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,3.000.000 đ
,,Mới,4-6 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,2.500.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Xeon,16 GB,NVIDIA,> 1 TB,Trung Quốc,In trên bao bì,desktop,55.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,> 32GB,AMD,512 GB,Mỹ,In trên bao bì,desktop,28.000.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,29.490.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,500 GB,Việt Nam,In trên bao bì,desktop,7.000.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,3.100.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,5.750.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,9.990.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,2.450.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i7,16 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,desktop,2.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Khác,4 GB,Khác,< 128 GB,Đang cập nhật,In trên bao bì,desktop,500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i7,,,,Đang cập nhật,In trên bao bì,desktop,200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,> 32GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,8.120.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,4 GB,,,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Core i3,,,250 GB,Việt Nam,In trên bao bì,desktop,6.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,2.850.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i7,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,1.750.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,4.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,AMD,16 GB,AMD,250 GB,Việt Nam,In trên bao bì,desktop,3.450.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,250 GB,Việt Nam,In trên bao bì,desktop,1.900.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Core i5,,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,14.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Pentium,4 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,1.000.000 đ
,,Mới,Bảo hành hãng,,Intel Core i3,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,7.600.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,,Đang cập nhật,In trên bao bì,desktop,1.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core 2 Duo,4 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,> 32GB,,512 GB,Đang cập nhật,In trên bao bì,desktop,26.000.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i3,8 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,2.800.000 đ
,,Mới,1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,,128 GB,Việt Nam,In trên bao bì,desktop,2.700.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,> 32GB,AMD,512 GB,Việt Nam,In trên bao bì,desktop,9.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,AMD,8 GB,AMD,128 GB,Thái Lan,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Pentium,4 GB,Khác,500 GB,Đang cập nhật,In trên bao bì,desktop,1.850.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,3.890.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,,,,Đang cập nhật,In trên bao bì,desktop,4.090.000 đ
,,Mới,>12 tháng,,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,6.800.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Trung Quốc,In trên bao bì,desktop,1.999.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,450.000 đ
,,,,,,,,,,,desktop,
,,Mới,4-6 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,,Intel Core i5,8 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,2.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,8.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,500 GB,Đang cập nhật,In trên bao bì,desktop,5.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,32 GB,,,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,,1 TB,Đang cập nhật,In trên bao bì,desktop,8.000.000 đ
,,Mới,Bảo hành hãng,,Intel Core i5,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,6.300.000 đ
,,Đã sử dụng (chưa sửa chữa),2 tháng,19 - 20.9 inch,Intel Core 2 Quad,6 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Nước khác,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core i5,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,600.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,Onboard,< 128 GB,Việt Nam,In trên bao bì,desktop,9.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,2.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.850.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,Onboard,< 128 GB,Việt Nam,In trên bao bì,desktop,900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,3.000.000 đ
